Date,Confirmed,Deaths,Recovered
2020-04-01,794,20,13
2020-04-02,897,22,19
2020-04-03,1072,27,23
2020-04-04,1225,32,25
2020-04-05,1251,37,28
2020-04-06,1319,38,28
2020-04-07,1462,45,28
2020-04-08,1668,52,35
2020-04-09,1892,57,45
2020-04-10,2227,70,61
2020-04-11,2511,74,79
2020-04-12,2801,84,89
2020-04-13,3104,93,97
2020-04-14,3420,99,119
2020-04-15,3764,108,143
2020-04-16,4161,116,186
2020-04-17,4662,125,246
2020-04-18,5106,133,275
2020-04-19,5449,141,347
2020-04-20,5710,151,359
2020-04-21,6125,161,367
2020-04-22,6592,174,424
2020-04-23,7170,187,504
2020-04-24,7647,193,601
2020-04-25,8125,201,782
2020-04-26,8617,209,841
2020-04-27,9009,220,864
2020-04-28,9410,239,992
2020-04-29,9866,250,1103
2020-04-30,10406,261,1238
