Date,Confirmed,Deaths,Recovered
2020-05-01,10861,272,1413
2020-05-02,11411,279,1498
2020-05-03,11913,288,1548
2020-05-04,12331,303,1619
2020-05-05,12697,316,1875
2020-05-06,13184,327,2097
2020-05-07,13691,340,2396
2020-05-08,14195,361,2706
2020-05-09,14710,376,2909
2020-05-10,15232,391,3060
2020-05-11,15648,408,3288
2020-05-12,16023,425,3373
2020-05-13,16425,439,3716
2020-05-14,16847,456,4143
2020-05-15,17330,476,4473
2020-05-16,17858,497,4906
2020-05-17,18291,514,5116
2020-05-18,18616,535,5276
2020-05-19,18876,548,5632
2020-05-20,19230,564,5955
2020-05-21,19706,579,6227
2020-05-22,20148,588,6585
2020-05-23,20580,605,6929
2020-05-24,20986,617,7108
2020-05-25,21245,623,7234
2020-05-26,21584,644,7575
2020-05-27,21905,658,7995
2020-05-28,22382,669,8439
2020-05-29,22811,679,8934
2020-05-30,23204,696,9311
2020-05-31,23672,708,9538
