Date,Confirmed,Deaths,Recovered
2020-03-03,1,0,0
2020-03-04,1,0,0
2020-03-05,1,0,0
2020-03-06,1,0,0
2020-03-07,1,0,0
2020-03-08,1,0,0
2020-03-09,1,0,0
2020-03-10,1,0,0
2020-03-11,1,0,0
2020-03-12,3,0,0
2020-03-13,3,1,0
2020-03-14,3,1,0
2020-03-15,3,1,0
2020-03-16,7,1,0
2020-03-17,14,2,0
2020-03-18,16,2,0
2020-03-19,26,3,0
2020-03-20,41,3,1
2020-03-21,47,3,1
2020-03-22,73,3,1
2020-03-23,73,3,1
2020-03-24,97,3,1
2020-03-25,145,5,1
2020-03-26,156,5,1
2020-03-27,237,5,4
2020-03-28,311,8,6
2020-03-29,418,8,8
2020-03-30,480,11,7
2020-03-31,645,17,10
