Date,Confirmed,Deaths,Recovered
2020-07-01,44998,1173,19548
2020-07-02,45887,1185,20053
2020-07-03,46763,1212,20558
2020-07-04,47677,1227,21155
2020-07-05,48500,1249,21376
2020-07-06,49043,1262,21703
2020-07-07,49607,1283,22193
2020-07-08,50414,1306,23119
2020-07-09,51224,1327,23784
2020-07-10,52043,1345,24800
2020-07-11,52843,1372,25661
2020-07-12,53521,1383,26118
2020-07-13,54133,1398,26503
2020-07-14,54771,1412,27154
2020-07-15,55607,1427,28131
2020-07-16,56455,1445,28931
2020-07-17,57264,1456,29769
2020-07-18,58111,1477,30525
2020-07-19,58842,1485,30879
2020-07-20,59493,1498,31439
2020-07-21,60166,1518,32199
2020-07-22,60995,1534,33172
2020-07-23,61851,1551,34000
2020-07-24,62823,1571,34886
2020-07-25,63929,1590,35497
2020-07-26,64849,1605,35807
2020-07-27,65656,1616,36122
2020-07-28,66575,1629,36744
2020-07-29,67597,1650,37394
2020-07-30,68794,1673,38154
2020-07-31,69884,1693,38752
