Date,Confirmed,Deaths,Recovered
2020-10-01,218625,4288,97956
2020-10-02,223376,4357,100163
2020-10-03,228161,4451,102347
2020-10-04,232424,4495,103762
2020-10-05,236329,4530,104966
2020-10-06,240811,4624,107210
2020-10-07,245698,4707,109968
2020-10-08,251243,4807,112365
2020-10-09,257204,4899,114872
2020-10-10,263105,5010,116861
2020-10-11,268065,5098,117829
2020-10-12,272671,5143,118740
2020-10-13,277982,5254,120999
2020-10-14,283762,5365,123263
2020-10-15,289022,5443,124316
2020-10-16,295227,5551,126721
2020-10-17,301856,5669,129033
2020-10-18,307301,5762,130338
2020-10-19,312287,5834,131473
2020-10-20,317967,5948,134680
2020-10-21,324942,6093,137515
2020-10-22,332262,6213,140322
2020-10-23,340042,6336,143093
2020-10-24,347317,6463,145418
2020-10-25,353723,6566,147240
2020-10-26,359348,6641,148300
2020-10-27,366233,6770,151428
2020-10-28,374023,6938,155028
2020-10-29,381664,7058,158208
2020-10-30,390272,7235,161719
2020-10-31,399330,7399,165902
