Date,Confirmed,Deaths,Recovered
2020-08-01,71056,1709,39308
2020-08-02,72168,1725,39543
2020-08-03,73158,1738,39876
2020-08-04,74219,1764,40613
2020-08-05,75490,1788,41527
2020-08-06,76808,1819,42524
2020-08-07,78261,1852,43055
2020-08-08,49750,1879,43655
2020-08-09,80949,1897,43972
2020-08-10,81957,1922,44359
2020-08-11,83115,1951,44934
2020-08-12,84548,1970,45686
2020-08-13,86140,1992,46216
2020-08-14,87872,2011,46797
2020-08-15,89719,2044,47430
2020-08-16,91356,2068,47822
2020-08-17,92820,2089,48164
2020-08-18,94436,2116,48925
2020-08-19,96403,2144,49737
2020-08-20,98537,2184,50441
2020-08-21,100643,2207,51078
2020-08-22,102971,2244,51735
2020-08-23,104958,2271,52235
2020-08-24,106757,2293,52524
2020-08-25,108415,2318,52870
2020-08-26,110085,2354,53454
2020-08-27,112059,2403,54217
2020-08-28,114497,2451,55083
2020-08-29,116978,2492,56138
2020-08-30,119074,2527,56734
2020-08-31,121215,2557,57114
